         5075
         0      2   -2.231    0.073      0.087  0.006 0.988E+00 0.131E+01 0.661E-02 0.153E+01 0.200E+00 0.200E+00
         0     -1   -2.995    0.958     -0.051  0.010 0.995E+00 0.136E+01 -.241E-02 0.546E+01 0.200E+00 0.200E+00
         0      1    0.079   -2.492     -0.267  0.010 0.152E+01 0.485E+01 -.209E-01 0.563E+01 0.201E+00 0.200E+00
         0     -2   -0.053   -1.483     -0.121  0.006 0.151E+01 0.485E+01 -.171E-01 0.160E+01 0.201E+00 0.200E+00
         0      2    0.040   -3.941     -1.922  0.006 -.133E+01 -.558E+01 -.981E-01 0.512E-01 0.223E+00 0.200E+00
         1     -2   -0.067   -0.056      0.059  0.006 -.126E+01 -.554E+01 -.847E-01 0.565E+00 0.229E+00 0.200E+00
         0      1    0.079   -0.606     -0.220  0.010 0.152E+01 0.486E+01 -.652E-01 0.169E+01 0.207E+00 0.200E+00
         0     -3   -1.499   -2.818     -0.761  0.199 0.143E+01 0.487E+01 -.488E-01 0.511E+01 0.207E+00 0.200E+00
         0     -4    0.463   -2.552     -0.064  1.350 -.163E+01 0.257E+01 -.768E-02 0.696E+01 0.201E+00 0.200E+00
         1      3    0.387   -0.284     -0.460  0.199 -.153E+01 0.266E+01 -.654E-01 0.368E+01 0.207E+00 0.200E+00
         0      3   -1.689    2.525     -0.471  0.199 0.141E+01 0.521E+01 -.326E-01 0.625E-01 0.203E+00 0.200E+00
         1     -2    0.065    0.259     -0.053  0.006 0.155E+01 0.521E+01 -.590E-01 0.371E+00 0.214E+00 0.200E+00
         0      1    2.731    0.366      0.336  0.010 -.274E+01 -.276E+01 0.293E-01 0.273E+01 0.204E+00 0.200E+00
         0     -2    0.290   -0.111      0.283  0.006 -.278E+01 -.281E+01 0.107E+00 0.425E+01 0.204E+00 0.200E+00
         1     -1   -2.525    1.537      0.854  0.010 0.293E+01 -.123E+01 0.601E-01 0.530E+01 0.209E+00 0.200E+00
         0      2   -0.089    0.077      0.014  0.006 0.294E+01 -.121E+01 0.353E-01 0.513E+01 0.209E+00 0.200E+00
         0      2   -2.424    0.102      0.672  0.006 -.314E+01 -.277E+01 0.571E-01 0.950E+00 0.209E+00 0.200E+00
         0     -1   -0.632    0.054      0.244  0.010 -.313E+01 -.277E+01 0.701E-01 0.248E+01 0.209E+00 0.200E+00
         0      2    0.317   -0.300      0.043  0.006 0.358E+01 0.909E+00 0.592E-02 0.373E+01 0.201E+00 0.200E+00
         2      2    0.163   -0.126     -0.247  0.006 0.343E+01 0.104E+01 -.120E+00 0.467E+01 0.232E+00 0.200E+00
         1      4   -1.191    1.177     -0.167  1.350 0.341E+01 0.107E+01 -.178E-01 0.322E+01 0.201E+00 0.200E+00
         0      3   -0.441    0.194     -0.036  0.199 0.145E+01 -.856E+00 0.595E-02 0.438E+01 0.205E+00 0.200E+00
         0     -1   -1.250    2.042      0.715  0.010 0.149E+01 -.796E+00 0.545E-01 0.278E+01 0.205E+00 0.200E+00
         0     -2    0.405   -0.293     -0.479  0.006 0.360E+01 0.257E+01 -.157E+00 0.545E+01 0.240E+00 0.200E+00
         0     -2    1.837   -1.750     -1.571  0.006 0.360E+01 0.255E+01 -.128E+00 0.687E-01 0.240E+00 0.200E+00
         0     -1    0.006   -0.392     -0.243  0.010 0.350E+01 0.250E+01 -.128E+00 0.456E+01 0.240E+00 0.200E+00
         1     -2    1.764   -2.455     -2.843  0.006 -.124E+01 0.253E+01 -.162E+00 0.582E+01 0.256E+00 0.200E+00
         2      2    0.180   -0.304     -0.052  0.006 -.129E+01 0.253E+01 -.286E-01 0.513E+01 0.202E+00 0.200E+00
         0     -3   -0.747    0.014     -0.070  0.199 0.327E+01 0.266E+01 -.289E-01 0.272E+01 0.206E+00 0.200E+00
         0      2   -1.729   -1.237     -0.642  0.006 0.329E+01 0.258E+01 -.559E-01 0.408E+01 0.206E+00 0.200E+00
         1      3    0.417   -0.037     -0.527  0.199 0.136E+01 0.129E+01 -.238E+00 0.915E+01 0.314E+00 0.200E+00
         2     -1    1.273   -0.514     -1.611  0.010 0.137E+01 0.126E+01 -.219E+00 0.489E+01 0.294E+00 0.200E+00
